fn_list,y_true,y_pred,0,1
../dataset/extracted/369b9dcfa2430d63e91b03f5d1330e67e78ae3fd197f64f6518a1b4191c08cad,0,0,0.51937336,0.48062664
../dataset/extracted/b48dea670abb434ef50b76dcde4a906cb541c49abd2112782548103b13f5889d,0,0,0.5207319,0.47926804
../dataset/extracted/823a77a64e1e5bb9078ec1af5b446f54a6d21c6308f02eb07d0d8dbf26a7940c,0,0,0.5186262,0.48137382
../dataset/extracted/f1a8310f1caecc51dae572e37747c06c1ad08fb221a768157963422643893c34,0,0,0.5178336,0.4821664
../dataset/extracted/d03ea2e4019e8e73bcb77c52f08c15bae4c1e0b3d30643f7b6d3e91b8f08a1de,0,0,0.5253138,0.47468618
../dataset/extracted/7559beadca3c5fdf80045bedb580221dab46cbbbbb6c7f87535164addaa0d893,0,0,0.5201074,0.47989258
../dataset/extracted/842d3b54c0d1a3cc1420a66ee2ea62851bfdfe2afbbe5b0832fbb6fbbe962ae8,0,0,0.5212155,0.47878453
../dataset/extracted/44a7bea8a08f4c2feb74c6a00ff1114ba251f3dc6922ea5ffab9e749c98cbdce,0,0,0.51929265,0.48070735
../dataset/extracted/7f489a9493c233018342defc7e9140e1c8b6ecdc9d0baa31c9c0ee62c844272d,0,0,0.5242886,0.47571138
../dataset/extracted/49e9a0249c3c4290e51953225efb6ef2c384e75c0489ff1e835f16b78d29a62f,0,0,0.51913506,0.48086494
../dataset/extracted/9a0bab44fd1d1364621c4fa76a43cdc4f7d3ca5a1961dc202e5abe2147785f98,0,0,0.52001834,0.47998166
../dataset/extracted/fb9af24eaf2e67595921aae2d13df25d8a213fb4f180174331c41b6c83a647f1,0,0,0.5173999,0.48260006
../dataset/extracted/8ca142461410c1a89091ea393914aba258ffa9ca91562012d1b2363d201a16b0,0,0,0.5232156,0.4767844
../dataset/extracted/42df046e2728ef98042283530a8b0ab7d70b3f819cb83fd560ce5ce5caa0c462,0,0,0.5212869,0.47871315
../dataset/extracted/04c9240d425bec07742dd99d6f75e2205383ef804f2410c8274ff2e74be74ad4,0,0,0.5193415,0.4806585
../dataset/extracted/a4159e5aa5b36d80d0fc662412e33da601bdfd24b3b9b75756283b8a76684018,0,0,0.51781493,0.4821851
../dataset/extracted/a6216402f9dd70c1e89541c6500197e4add10004725e9dade61b8d1c436e58fd,0,0,0.5251766,0.47482345
../dataset/extracted/3d70e03b2da89a1aec0685c23a53d516a98e8df3e8a055a74e509389c107e3fe,0,0,0.5287739,0.47122604
../dataset/extracted/10b94d3088a21b367c085e5f6493f022b47f279352e657719f7b8a5957964a1d,0,0,0.519681,0.48031905
../dataset/extracted/07c7d7e3f4da80983f09256241d8cc0b3f986f31ef65af2fa87b03c11cdebb65,0,0,0.51818967,0.48181027
../dataset/extracted/efce8c3f7dd1ee2b6c40fd84909e5d423bd75a908b546fdba7ef73480eea2871,0,0,0.5338036,0.4661964
../dataset/extracted/732a026d8c1b9f4f67b700086b4803776f10a8b6e27e82e0c7d1a5873ccd4212,0,0,0.5271773,0.47282273
../dataset/extracted/f12efd87568e0a91cbd8fd35640d93bfcceb0e2a2d340bf461ef1e5011ea281e,0,0,0.52417785,0.47582212
../dataset/extracted/213575cde5a1a5c8a70251159c7b1fba9de26e9d979929a66c0aa39fc57008c1,0,0,0.5276464,0.47235364
../dataset/extracted/9d9e8ace43981a3d69f96f6471fd39a30191d849cf6f55151834bcadba1e9321,0,0,0.5256679,0.4743321
../dataset/extracted/68ddf05f1381260be8208ef9dcc15c506b5874ec40c4c1e1f7f72c2d303c5bef,0,0,0.51969457,0.48030543
../dataset/extracted/d86f415508abd0ac072955053de4ff9413ec71149e326558bab157de1e54899d,0,0,0.53598523,0.46401483
../dataset/extracted/4ddfabe1b2f3ad0d60b795f7123db0006778800c038401ee780213f01bca1090,1,0,0.5242139,0.4757861
../dataset/extracted/ab478166ea93e9dac3e37a9ad7457aa58249046003238e3b3bc5b9b45b09d7a8,1,0,0.5171354,0.4828646
../dataset/extracted/b2d9ca6d886cc64b206036b94241fd0d8599978ef43b9d48913e36ec3384a5c5,1,0,0.52018,0.47981998
../dataset/extracted/cb09c377721de670a698db9d56716be19946225ed7eb3dfccef283be28d7780d,1,0,0.5209468,0.47905323
../dataset/extracted/3ef0261dda3dd70bee414e437391668876a2f938b9f1e4a0995319f098f905f5,1,0,0.51799077,0.48200917
../dataset/extracted/2e5a0550bccac2a818e339844b6f8d84def0ce54aeb8d5b75a666da8ee5cd953,1,0,0.51152456,0.48847547
../dataset/extracted/36c89c535f6b12d56ae0078ccbd78a58af47aa4d9865ecd4c9b0c553d76894e8,1,0,0.5242424,0.47575757
../dataset/extracted/275035630745793d55693edfb537775534ca75f4344c84b4b2d4047f6b71ddb6,1,0,0.5267797,0.47322026
../dataset/extracted/932b51bb91498ff339927a6a5a47d6b815ee73dcec40133e47b9b4c6e1bbfd30,1,0,0.51800984,0.4819902
../dataset/extracted/def7fa2f662cf1a5f7c8ce224be79aa0ccb9339f06d118b0b073e1a31ea52d71,1,0,0.51799744,0.48200253
../dataset/extracted/8407c9d6116d300bea75eb15b7b20c9646b6372428f083ab0e6814ecd9a5deb2,1,0,0.51743126,0.48256874
../dataset/extracted/d6d089fcbd886363cfbc23c237cab8d99d5033eff9f6a4a3eeb95e32f5b80113,1,0,0.5114952,0.48850486
../dataset/extracted/43735fc143c20b157ea2a0854dc5a6acc5bb939ffe0281f2d95c26c1c0a2f8a7,1,0,0.5114952,0.48850486
../dataset/extracted/de18a47320a1eb08efd96e7bcee8ae0b3cd19683bc602063b854cf96a51536f5,1,0,0.5173395,0.4826604
../dataset/extracted/f6982034b7ca7e535cc2b0af0bd081e131718d746dac82364ac0cd9702341d26,1,0,0.5197294,0.48027065
../dataset/extracted/6a47ef472356a856084006049c38b7a298b6f038460f492ce832e7d7e7de7b96,1,0,0.518972,0.481028
../dataset/extracted/657b4e98139bd4e816caab0eaae7d0c3461e08e61ad1970a82114603108f5f0e,1,0,0.5232855,0.47671452
../dataset/extracted/2eeae7447df15f4222baac0355552e52c54115845c8811a537f547cb6dc44b1f,1,0,0.5179025,0.4820975
../dataset/extracted/d6684a4aff4f0706c5a9818fb0b1a5f52cb22531c88d416e5950e28b67adfbdd,1,0,0.5246549,0.4753451
../dataset/extracted/58cfecb2308cdabb356371649ac082a127879290b20edba05ab75561671b52c5,1,0,0.50643283,0.4935672
../dataset/extracted/608da4d2771afebd72ba09d877e708e0a40d3a0ca9638a34360a4ee33eb75e10,1,0,0.51712024,0.48287976
../dataset/extracted/86af764b489e838982a4c5c1685ec3b43781d8b76c1ecda6edc238cfd7ee61d5,1,0,0.5249714,0.47502857
../dataset/extracted/ba789c3dcb6e20f401ef0c76e8c9889ebff9f2b669b8bf3fcb33f1a78109d4d6,1,0,0.5173544,0.4826456
../dataset/extracted/b7f6abeae241dcf48e880d81ed88858e4c31a584eb43de71104fd263c488c2e5,1,0,0.5235143,0.47648573
../dataset/extracted/1101e39160abe027fcad28c9ee22b074c846c44f8d40c28c20e02fbd167d7716,1,0,0.51722914,0.48277086
../dataset/extracted/f9f7608d46fbdd1b700c69590c8ba913f977e8ae3fd4efd49cf5a82266910381,1,0,0.5176712,0.48232877
../dataset/extracted/5ceb1dc5c65ab300286b24856d976129e98cfd96d99138214614161c5ea7061b,1,0,0.5136841,0.48631594
../dataset/extracted/ca0c58cd27bf3ece3233a9f79e63328e377f868dc916c9e1967ca0b880b080c7,1,0,0.5211775,0.47882253
